PLZ4,PLZZ,PLZNAMK
2554,0,Meinisberg
3298,0,Oberwil b. Büren
2542,0,Pieterlen
3295,0,Rüti b. Büren
3251,0,Wengi b. Büren
3426,0,Aefligen
3473,0,Alchenstorf
3323,0,Bäriswil BE
3400,0,Burgdorf
3413,0,Kaltacker
3414,0,Oberburg
3472,0,Wynigen
3422,0,Kirchberg BE
3423,0,Ersigen
3424,0,Niederösch
3424,2,Oberösch
3425,0,Koppigen
3472,2,Rumendingen
3415,1,Hasle b. Burgdorf
3415,2,Schafhausen i. E.
3419,0,Biembach
3432,0,Lützelflüh-Goldb
3433,0,Schwanden i. E.
3513,0,Bigenthal
3412,0,Heimiswil
3413,0,Kaltacker
3415,3,Rüegsauschachen
3416,0,Affoltern BE
3418,0,Rüegsbach
3472,0,Wynigen
3429,3,Hellsau
3324,0,Hindelbank
3325,0,Hettiswil
3429,2,Höchstetten
3309,0,Kernenried
3400,0,Burgdorf
3422,0,Kirchberg BE
3425,0,Koppigen
3325,0,Hettiswil
3326,0,Krauchthal
3421,0,Lyssach
3324,2,Mötschwil
3325,0,Hettiswil
3421,0,Lyssach
3414,0,Oberburg
3421,0,Lyssach
3422,1,Rüdtligen
3422,2,Alchenflüh
3472,2,Rumendingen
3421,2,Rüti b. Lyssach
3425,2,Willadingen
3464,0,Schmidigen-Mühlew
3472,0,Wynigen
3474,0,Rüedisbach
2534,2,Les Prés-d'Orvin
2606,0,Corgémont
2608,2,Mtgne-Courtelary
2720,2,La Tanne
2610,4,Mont-Crosin
2612,0,Cormoret
2613,0,Villeret
2607,0,Cortébert
2608,2,Mtgne-Courtelary
2723,0,Mont-Tramelan
2608,0,Courtelary
2608,2,Mtgne-Courtelary
2610,4,Mont-Crosin
2723,0,Mont-Tramelan
2333,0,La Ferrière
2333,2,La Cibourg
2720,0,Tramelan
2723,0,Mont-Tramelan
2534,0,Orvin
2534,2,Les Prés-d'Orvin
2535,0,Frinvillier
2616,0,Renan BE
2616,2,La Cibourg
2536,0,Plagne
2538,0,Romont BE
2603,0,Péry
2345,2,Le Cerneux-Veusil
2610,0,St-Imier
2610,2,Mont-Soleil
2610,3,Les Pontins
2605,0,Sonceboz-Sombeval
2606,0,Corgémont
2720,2,La Tanne
2333,0,La Ferrière
2345,2,Le Cerneux-Veusil
2610,2,Mont-Soleil
2615,0,Sonvilier
2615,2,Montagne-Sonvilier
2720,0,Tramelan
2720,2,La Tanne
2722,0,Les Reussilles
2723,0,Mont-Tramelan
2345,0,Les Breuleux
2610,3,Les Pontins
2610,4,Mont-Crosin
2613,0,Villeret
2535,0,Frinvillier
2536,0,Plagne
2537,0,Vauffelin
2535,0,Frinvillier
2603,0,Péry
2604,0,La Heutte
2732,0,Reconvilier
2735,4,Malleray
3237,0,Brüttelen
3232,0,Ins
3233,0,Tschugg
3235,0,Erlach
2577,2,Finsterhennen
2525,0,Le Landeron
3235,0,Erlach
3238,0,Gals
3236,0,Gampelen
3232,0,Ins
3236,0,Gampelen
2575,2,Hagneck
2576,0,Lüscherz
3225,0,Müntschemier
2577,0,Siselen BE
3226,0,Treiten
3233,0,Tschugg
2576,0,Lüscherz
3234,0,Vinelz
3314,0,Schalunen
3315,0,Bätterkinden
3315,1,Kräiligen
4573,0,Lohn-Ammannsegg
3053,2,Deisswil Mbuchsee
3053,3,Diemerswil
3306,0,Etzelkofen
3308,0,Grafenried
3309,2,Zauggenried
3312,0,Fraubrunnen
3313,0,Büren zum Hof
3314,0,Schalunen
3317,0,Limpach
3317,1,Mülchi
3303,0,Jegenstorf
3303,2,Münchringen
3303,4,Ballmoos
3305,2,Scheunen
3305,0,Iffwil
3322,0,Urtenen-Schönbühl
3322,1,Mattstetten
3053,0,Münchenbuchsee
3302,0,Moosseedorf
3322,0,Urtenen-Schönbühl
3052,0,Zollikofen
3053,0,Münchenbuchsee
3322,0,Urtenen-Schönbühl
3427,0,Utzenstorf
3053,4,Wiggiswil
3427,0,Utzenstorf
3428,0,Wiler b.Utzenstorf
4564,1,Zielebach
3303,3,Zuzwil BE
3715,0,Adelboden
3725,0,Achseten
3702,0,Hondrich
3703,0,Aeschi b. Spiez
3703,41,Aeschiried
3704,0,Krattigen
3711,0,Emdthal
3711,2,Mülenen
3713,0,Reichenbach i. K.
3714,0,Frutigen
3715,0,Adelboden
3716,0,Kandergrund
3724,0,Ried (Frutigen)
3725,0,Achseten
3716,0,Kandergrund
3717,0,Blausee-Mitholz
3718,0,Kandersteg
3704,0,Krattigen
3711,2,Mülenen
3713,0,Reichenbach i. K.
3714,3,Wengi b. Frutigen
3722,0,Scharnachtal
3723,0,Kiental
3800,5,Sundlauenen
3803,0,Beatenberg
3806,0,Bönigen
3855,0,Brienz BE
3855,1,Axalp
3856,0,Brienzwiler
3856,0,Brienzwiler
3706,0,Leissigen
3707,0,Därligen
3816,0,Lütschental
3816,1,Burglauenen
3818,0,Grindelwald
3823,1,Kleine Scheidegg
3800,0,Interlaken
3813,0,Saxeten
3814,0,Gsteigwiler
3815,0,Zweilütschinen
3815,2,Gündlischwand
3804,0,Habkern
3858,0,Hofstetten BE
3800,0,Interlaken
3807,0,Iseltwald
3822,0,Lauterbrunnen
3822,2,Isenfluh
3823,0,Wengen
3823,1,Kleine Scheidegg
3823,2,Eigergletscher
3824,0,Stechelberg
3825,0,Mürren
3826,0,Gimmelwald
3706,0,Leissigen
3816,0,Lütschental
3800,3,Matten b. Interl
3853,0,Niederried Interl
3854,0,Oberried Brienz
3855,0,Brienz BE
3805,0,Goldswil
3852,0,Ringgenberg BE
3813,0,Saxeten
3855,41,Schwanden-Brienz
3800,2,Unterseen
3800,3,Matten b. Interl
3812,0,Wilderswil
3815,0,Zweilütschinen
3507,0,Biglen
3508,0,Arni BE
3507,0,Biglen
3531,0,Oberthal
3533,0,Bowil
3534,0,Signau
3538,0,Röthenbach i. E.
3673,0,Linden
3671,0,Brenzikofen
3510,8,Freimettigen
3506,0,Grosshöchstetten
3510,9,Häutligen
3671,2,Herbligen
3114,0,Wichtrach
3629,0,Kiesen
3503,0,Gysenstein
3510,0,Konolfingen
3434,0,Obergoldbach
3434,1,Landiswil
3508,0,Arni BE
3538,0,Röthenbach i. E.
3615,0,Heimenschwand
3672,0,Oberdiessbach
3673,0,Linden
3506,0,Grosshöchstetten
3532,2,Mirchel
3083,0,Trimstein
3110,0,Münsingen
3111,0,Tägertschi
3504,0,Niederhünigen
3672,0,Oberdiessbach
3672,2,Aeschlen
3674,0,Bleiken
3506,0,Grosshöchstetten
3508,0,Arni BE
3531,0,Oberthal
3629,2,Oppligen
3112,0,Allmendingen b. BE
3113,0,Rubigen
3082,0,Schlosswil
3068,0,Utzigen
3512,0,Walkringen
3513,0,Bigenthal
3068,0,Utzigen
3075,0,Rüfenacht BE
3075,2,Vielbringen Worb
3076,0,Worb
3077,0,Enggistein
3078,0,Richigen
3082,0,Schlosswil
3113,0,Rubigen
3506,0,Grosshöchstetten
3531,0,Oberthal
3532,0,Zäziwil
3533,0,Bowil
3504,2,Oberhünigen
3532,0,Zäziwil
3532,2,Mirchel
3533,0,Bowil
3673,0,Linden
3112,0,Allmendingen b. BE
3114,0,Wichtrach
3510,9,Häutligen
1595,2,Clavaleyres
3177,0,Laupen BE
3205,0,Gümmenen
3206,0,Rizenbach
3206,1,Ferenbalm
3206,3,Biberen
3206,4,Gammen
3207,0,Wileroltigen
3020,0,Bern
3033,0,Wohlen b. Bern
3202,0,Frauenkappelen
3207,2,Golaten
3208,0,Gurbrü
3210,0,Kerzers
3179,0,Kriechenwil
3177,0,Laupen BE
3202,0,Frauenkappelen
3203,0,Mühleberg
3204,0,Rosshäusern
3205,0,Gümmenen
1797,0,Münchenwiler
3174,0,Thörishaus
3176,0,Neuenegg
3177,0,Laupen BE
3204,0,Rosshäusern
3207,0,Wileroltigen
2744,0,Belprahon
2735,3,Champoz
2747,0,Corcelles BE
2735,3,Champoz
2738,0,Court
2746,0,Crémines
2747,0,Corcelles BE
4716,1,Gänsbrunnen
2743,0,Eschert
2745,0,Grandval
2732,4,Loveresse
2740,0,Moutier
2740,0,Moutier
2742,0,Perrefitte
2748,0,Souboz
2710,0,Tavannes
2732,0,Reconvilier
2740,0,Moutier
2762,0,Roches BE
2712,0,Le Fuet
2713,0,Bellelay
2720,0,Tramelan
2732,2,Saicourt
2732,3,Saules BE
2827,2,Schelten
2747,2,Seehof
2736,0,Sorvilier
2710,0,Tavannes
2720,2,La Tanne
2717,2,Rebévelier
2712,0,Le Fuet
2715,1,Châtelat
2715,2,Monible
2716,0,Sornetan
2717,0,Fornet-Dessous
2748,0,Souboz
2748,2,Les Ecorcheresses
2733,0,Pontenet
2735,2,Bévilard
2735,4,Malleray
2514,0,Ligerz
2520,0,La Neuveville
2523,0,Lignières
2518,0,Nods
2523,0,Lignières
2534,2,Les Prés-d'Orvin
2515,0,Prêles
2516,0,Lamboing
2517,0,Diesse
2523,0,Lignières
2558,0,Aegerten
2562,0,Port
2563,0,Ipsach
2564,0,Bellmund
2503,0,Biel/Bienne
2504,0,Biel/Bienne
2552,0,Orpund
2555,0,Brügg BE
3274,2,Bühl BE
3272,2,Epsach
2575,0,Täuffelen
2575,2,Hagneck
3274,0,Hermrigen
2565,0,Jens
2563,0,Ipsach
2513,0,Twann
2514,0,Ligerz
3274,3,Merzligen
2572,2,Mörigen
2560,0,Nidau
2504,0,Biel/Bienne
2552,0,Orpund
2560,0,Nidau
2562,0,Port
2553,0,Safnern
2556,0,Scheuren
2556,2,Schwadernau
2558,0,Aegerten
2557,0,Studen BE
2572,0,Sutz
2575,0,Täuffelen
2575,1,Gerolfingen
2575,2,Hagneck
3272,0,Walperswil
3252,0,Worben
2505,0,Biel/Bienne
2512,0,Tüscherz-Alfermée
2513,0,Twann
2516,0,Lamboing
2532,0,Magglingen/Macolin
3235,0,Erlach
3763,0,Därstetten
3764,0,Weissenburg
3753,0,Oey
3754,0,Diemtigen
3755,0,Horboden
3756,0,Zwischenflüh
3757,0,Schwenden
3754,0,Diemtigen
3758,0,Latterbach
3762,0,Erlenbach i. S.
3764,0,Weissenburg
3765,0,Oberwil i. S.
3766,0,Boltigen
3647,0,Reutigen
3645,0,Gwatt (Thun)
3646,0,Einigen
3700,0,Spiez
3702,0,Hondrich
3704,0,Krattigen
3705,0,Faulensee
3711,0,Emdthal
3752,0,Wimmis
3631,0,Höfen b. Thun
3632,2,Niederstocken
3632,3,Oberstocken
3864,0,Guttannen
6083,0,Hasliberg Hohfluh
6084,0,Hasliberg Wasserw
6085,0,Hasliberg Goldern
6086,0,Hasliberg Reuti
3862,0,Innertkirchen
3863,0,Gadmen
3856,0,Brienzwiler
3857,0,Unterbach BE
3860,0,Meiringen
3860,3,Schattenhalb
3860,4,Brünig
3860,2,Rosenlaui
3860,3,Schattenhalb
1657,0,Abländschen
3766,0,Boltigen
3770,0,Zweisimmen
3773,0,Matten(St.Stephan)
3775,0,Lenk im Simmental
3772,0,St. Stephan
3773,0,Matten(St.Stephan)
3770,0,Zweisimmen
3771,0,Blankenburg
3776,0,Oeschseite
3777,0,Saanenmöser
3784,0,Feutersoey
3785,0,Gsteig b. Gstaad
3782,0,Lauenen b. Gstaad
1657,0,Abländschen
